date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:35	557/557	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Mar%202021%2009:20:34%20GMT	https://www.pxdraft.com/robots.txt		(from )
14:50:36	61472/61472	---M-Z	200	added ('OK')	text/html	etag:%2254c1080-f020-5a48e6ba77d11-gzip%22	https://www.pxdraft.com/themeforest/raino/	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/index.html	(from )
14:50:36	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2254c1083-47e-5a48e6bab5d43%22	https://www.pxdraft.com/themeforest/raino/favicon.ico	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/favicon.ico	(from https://www.pxdraft.com/themeforest/raino/)
14:50:38	159515/159515	---M--	200	added ('OK')	text/css	etag:%2254c117c-26f1b-5a48e73966729%22	https://www.pxdraft.com/themeforest/raino/static/plugin/bootstrap/css/bootstrap.min.css	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/plugin/bootstrap/css/bootstrap.min.css	(from https://www.pxdraft.com/themeforest/raino/)
14:50:39	55967/55967	---M--	200	added ('OK')	text/css	etag:%2254c118f-da9f-5a48e743a1da2%22	https://www.pxdraft.com/themeforest/raino/static/plugin/font-awesome/css/all.min.css	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/plugin/font-awesome/css/all.min.css	(from https://www.pxdraft.com/themeforest/raino/)
14:50:39	7052/7052	---M--	200	added ('OK')	text/css	etag:%2254c113e-1b8c-5a48e7260c8d8%22	https://www.pxdraft.com/themeforest/raino/static/plugin/et-line/style.css	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/plugin/et-line/style.css	(from https://www.pxdraft.com/themeforest/raino/)
14:50:40	16435/16435	---M--	200	added ('OK')	text/css	etag:%2254c1151-4033-5a48e72d5b6aa%22	https://www.pxdraft.com/themeforest/raino/static/plugin/themify-icons/themify-icons.css	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/plugin/themify-icons/themify-icons.css	(from https://www.pxdraft.com/themeforest/raino/)
14:50:41	45219/45219	---M--	200	added ('OK')	text/css	etag:%2254c11a3-b0a3-5a48e74f0e30d%22	https://www.pxdraft.com/themeforest/raino/static/plugin/ionicons/css/ionicons.min.css	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/plugin/ionicons/css/ionicons.min.css	(from https://www.pxdraft.com/themeforest/raino/)
14:50:42	2936/2936	---M--	200	added ('OK')	text/css	etag:%2254c14a6-b78-5a48e7e4c90c2%22	https://www.pxdraft.com/themeforest/raino/static/plugin/owl-carousel/css/owl.carousel.min.css	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/plugin/owl-carousel/css/owl.carousel.min.css	(from https://www.pxdraft.com/themeforest/raino/)
14:50:43	6951/6951	---M--	200	added ('OK')	text/css	etag:%2254c1149-1b27-5a48e72a10a2f%22	https://www.pxdraft.com/themeforest/raino/static/plugin/magnific/magnific-popup.css	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/plugin/magnific/magnific-popup.css	(from https://www.pxdraft.com/themeforest/raino/)
14:50:45	194655/194655	---M--	200	added ('OK')	text/css	etag:%2254c1114-2f85f-5a48e7185c9eb%22	https://www.pxdraft.com/themeforest/raino/static/style/master.css	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/style/master.css	(from https://www.pxdraft.com/themeforest/raino/)
14:50:45	61472/61472	---M-Z	200	added ('OK')	text/html	etag:%2254c1080-f020-5a48e6ba77d11-gzip%22	https://www.pxdraft.com/themeforest/raino/index.html	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/index-2.html	(from https://www.pxdraft.com/themeforest/raino/)
14:50:46	5061/5061	---M--	200	added ('OK')	image/svg+xml	etag:%2254c10e2-13c5-5a48e6efc3f68%22	https://www.pxdraft.com/themeforest/raino/static/img/logo.svg	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/img/logo.svg	(from https://www.pxdraft.com/themeforest/raino/)
14:50:47	5061/5061	---M--	200	added ('OK')	image/svg+xml	etag:%2254c10e1-13c5-5a48e6ef5c33d%22	https://www.pxdraft.com/themeforest/raino/static/img/logo-light.svg	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/static/img/logo-light.svg	(from https://www.pxdraft.com/themeforest/raino/)
14:50:48	59641/59641	---M-Z	200	added ('OK')	text/html	etag:%2254c1081-e8f9-5a48e6aba49f3-gzip%22	https://www.pxdraft.com/themeforest/raino/index-01.html	/Users/yagneshmodh/Documents/Projects/Templates/raino/www.pxdraft.com/themeforest/raino/index-01.html	(from https://www.pxdraft.com/themeforest/raino/)
