date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:39	51711/51711	---M-Z	200	added ('OK')	text/html	etag:%2253414ca-c9ff-5b2bea8b8de67-gzip%22	http://pxdraft.com/pxdemo/softon/index.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index.html	(from )
14:40:40	557/557	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Feb%202021%2009:10:39%20GMT	http://pxdraft.com/robots.txt		(from )
14:40:40	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2253414e2-47e-5b2bea90d7e9a%22	http://pxdraft.com/pxdemo/softon/favicon.ico	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/favicon.ico	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:44	249239/249239	---M--	200	added ('OK')	text/css	etag:%225380e95-3cd97-5b2bea94a60a4%22	http://pxdraft.com/pxdemo/softon/static/css/style.css	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/css/style.css	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:46	5395/5395	---M--	200	added ('OK')	image/svg+xml	etag:%225380ec2-1513-5b2beab0674f7%22	http://pxdraft.com/pxdemo/softon/static/img/logo.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/logo.svg	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:46	5395/5395	---M--	200	added ('OK')	image/svg+xml	etag:%225380ec1-1513-5b2beab00a4ad%22	http://pxdraft.com/pxdemo/softon/static/img/logo-light.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/logo-light.svg	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:46	49807/49807	---M-Z	200	added ('OK')	text/html	etag:%2253414c9-c28f-5b2bea8b417bd-gzip%22	http://pxdraft.com/pxdemo/softon/index-02.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-02.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:47	40493/40493	---M-Z	200	added ('OK')	text/html	etag:%2253414c8-9e2d-5b2bea8b0c043-gzip%22	http://pxdraft.com/pxdemo/softon/index-03.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-03.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:48	53649/53649	---M-Z	200	added ('OK')	text/html	etag:%2253414c1-d191-5b2bea8ac66f9-gzip%22	http://pxdraft.com/pxdemo/softon/index-04.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-04.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:49	46438/46438	---M-Z	200	added ('OK')	text/html	etag:%2253414b7-b566-5b2bea8aa3861-gzip%22	http://pxdraft.com/pxdemo/softon/index-05.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-05.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:50	45993/45993	---M-Z	200	added ('OK')	text/html	etag:%2253414de-b3a9-5b2bea8fd6964-gzip%22	http://pxdraft.com/pxdemo/softon/index-06.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-06.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:51	29494/29494	---M-Z	200	added ('OK')	text/html	etag:%2253414dd-7336-5b2bea8f5c840-gzip%22	http://pxdraft.com/pxdemo/softon/index-07.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-07.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:52	43041/43041	---M-Z	200	added ('OK')	text/html	etag:%2253414dc-a821-5b2bea8f7a8b9-gzip%22	http://pxdraft.com/pxdemo/softon/index-08.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-08.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:53	46343/46343	---M-Z	200	added ('OK')	text/html	etag:%2253414db-b507-5b2bea8efa9d6-gzip%22	http://pxdraft.com/pxdemo/softon/index-09.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-09.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:54	34369/34369	---M-Z	200	added ('OK')	text/html	etag:%2253414da-8641-5b2bea8ee59e5-gzip%22	http://pxdraft.com/pxdemo/softon/index-10.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-10.html	(from http://pxdraft.com/pxdemo/softon/index.html)
14:40:55	35078/35078	---M-Z	200	added ('OK')	text/html	etag:%2253414d9-8906-5b2bea8e7f913-gzip%22	http://pxdraft.com/pxdemo/softon/index-11.html	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/index-11.html	(from http://pxdraft.com/pxdemo/softon/index.html)
